datetime,product,quote,datetime_parsed,quote_cleaned,quote_length,word_count,hour,day_of_week,month,textblob_polarity,textblob_subjectivity,vader_compound,vader_positive,vader_negative,vader_neutral
2024-01-01 09:15:00,Smartphone X,This phone is absolutely incredible! The camera quality is outstanding and the battery life exceeds my expectations. Best purchase I've ever made!,2024-01-01 09:15:00,this phone is absolutely incredible! the camera quality is outstanding and the battery life exceeds my expectations. best purchase i've ever made!,146,22,9,Monday,1,0.8333333333333334,0.6916666666666665,0.8684,0.305,0.0,0.695
2024-01-01 10:30:00,Laptop Pro,"The laptop works fine, but the price seems a bit high for what you get. Performance is decent but nothing spectacular.",2024-01-01 10:30:00,"the laptop works fine, but the price seems a bit high for what you get. performance is decent but nothing spectacular.",118,21,10,Monday,1,0.3358333333333333,0.6516666666666666,0.1027,0.065,0.0,0.935
2024-01-01 11:45:00,Wireless Headphones,Terrible product! The sound quality is awful and they keep disconnecting. Complete waste of money.,2024-01-01 11:45:00,terrible product! the sound quality is awful and they keep disconnecting. complete waste of money.,98,15,11,Monday,1,-0.33999999999999997,0.5599999999999999,-0.8478,0.0,0.434,0.566
2024-01-01 13:20:00,Smartphone X,Amazing features and great performance. The screen is beautiful and the user interface is intuitive.,2024-01-01 13:20:00,amazing features and great performance. the screen is beautiful and the user interface is intuitive.,100,15,13,Monday,1,0.75,0.8833333333333333,0.9153,0.496,0.0,0.504
2024-01-01 14:35:00,Tablet Air,"This tablet is okay, nothing special but it gets the job done for basic tasks.",2024-01-01 14:35:00,"this tablet is okay, nothing special but it gets the job done for basic tasks.",78,15,14,Monday,1,0.28571428571428575,0.3988095238095238,-0.0462,0.09,0.101,0.809
2024-01-01 16:00:00,Laptop Pro,Excellent build quality and fast performance. The keyboard feels great and the display is sharp.,2024-01-01 16:00:00,excellent build quality and fast performance. the keyboard feels great and the display is sharp.,96,15,16,Monday,1,0.46875,0.775,0.8316,0.375,0.0,0.625
2024-01-01 17:30:00,Wireless Headphones,I love these headphones! Crystal clear sound and comfortable for long listening sessions.,2024-01-01 17:30:00,i love these headphones! crystal clear sound and comfortable for long listening sessions.,89,13,17,Monday,1,0.295,0.5166666666666667,0.8858,0.51,0.0,0.49
2024-01-01 19:15:00,Smartphone X,The phone is good but the battery drains too quickly. Camera is nice though.,2024-01-01 19:15:00,the phone is good but the battery drains too quickly. camera is nice though.,76,14,19,Monday,1,0.5444444444444444,0.7000000000000001,0.6858,0.32,0.0,0.68
2024-01-01 20:45:00,Tablet Air,Fantastic tablet with great battery life. Perfect for watching movies and browsing the web.,2024-01-01 20:45:00,fantastic tablet with great battery life. perfect for watching movies and browsing the web.,91,14,20,Monday,1,0.7333333333333334,0.8833333333333333,0.9081,0.509,0.0,0.491
2024-01-01 22:00:00,Laptop Pro,Disappointed with this laptop. Overheats constantly and the fan is too loud.,2024-01-01 22:00:00,disappointed with this laptop. overheats constantly and the fan is too loud.,76,12,22,Monday,1,-0.21666666666666667,0.6277777777777778,-0.2023,0.149,0.201,0.649
2024-01-02 08:30:00,Smartphone X,Outstanding phone! The AI features are mind-blowing and the processing speed is incredible.,2024-01-02 08:30:00,outstanding phone! the ai features are mind-blowing and the processing speed is incredible.,91,13,8,Tuesday,1,0.7625,0.8875,0.6476,0.263,0.0,0.737
2024-01-02 09:45:00,Wireless Headphones,These headphones are garbage. Poor sound quality and they hurt my ears after 10 minutes.,2024-01-02 09:45:00,these headphones are garbage. poor sound quality and they hurt my ears after 10 minutes.,88,15,9,Tuesday,1,0.0,0.5,-0.7579,0.0,0.333,0.667
2024-01-02 11:00:00,Tablet Air,The tablet is decent for the price. Good for kids and basic entertainment.,2024-01-02 11:00:00,the tablet is decent for the price. good for kids and basic entertainment.,74,13,11,Tuesday,1,0.28888888888888886,0.46388888888888885,0.6908,0.341,0.0,0.659
2024-01-02 12:30:00,Laptop Pro,Incredible performance! This laptop handles everything I throw at it without any issues.,2024-01-02 12:30:00,incredible performance! this laptop handles everything i throw at it without any issues.,88,13,12,Tuesday,1,1.0,0.9,0.0,0.0,0.0,1.0
2024-01-02 14:00:00,Smartphone X,"The phone is alright, but the camera could be better. Overall satisfied with the purchase.",2024-01-02 14:00:00,"the phone is alright, but the camera could be better. overall satisfied with the purchase.",90,15,14,Tuesday,1,0.3333333333333333,0.5,0.8422,0.43,0.0,0.57
2024-01-02 15:30:00,Wireless Headphones,Amazing sound quality and noise cancellation! Worth every penny.,2024-01-02 15:30:00,amazing sound quality and noise cancellation! worth every penny.,64,9,15,Tuesday,1,0.46666666666666673,0.46666666666666673,0.7177,0.461,0.0,0.539
2024-01-02 17:00:00,Tablet Air,"This tablet is a complete disaster. Slow, crashes constantly, and the screen is terrible.",2024-01-02 17:00:00,"this tablet is a complete disaster. slow, crashes constantly, and the screen is terrible.",89,14,17,Tuesday,1,-0.3,0.5333333333333333,-0.802,0.0,0.375,0.625
2024-01-02 18:30:00,Laptop Pro,Good laptop but the battery life is disappointing. Need to charge it multiple times a day.,2024-01-02 18:30:00,good laptop but the battery life is disappointing. need to charge it multiple times a day.,90,16,18,Tuesday,1,0.033333333333333326,0.43333333333333335,-0.5187,0.096,0.212,0.691
2024-01-02 20:00:00,Smartphone X,Perfect phone! The design is beautiful and the features are exactly what I needed.,2024-01-02 20:00:00,perfect phone! the design is beautiful and the features are exactly what i needed.,82,14,20,Tuesday,1,0.7000000000000001,0.75,0.8356,0.397,0.0,0.603
2024-01-02 21:30:00,Wireless Headphones,"Average headphones, nothing special. Sound is okay but not worth the price.",2024-01-02 21:30:00,"average headphones, nothing special. sound is okay but not worth the price.",75,12,21,Tuesday,1,0.19142857142857145,0.3942857142857143,-0.291,0.103,0.258,0.639
2024-01-03 07:45:00,Tablet Air,Love this tablet! Great for productivity and entertainment. Highly recommend!,2024-01-03 07:45:00,love this tablet! great for productivity and entertainment. highly recommend!,77,10,7,Wednesday,1,0.5416666666666666,0.63,0.938,0.707,0.0,0.293
2024-01-03 09:00:00,Laptop Pro,"The laptop is fine, nothing to complain about but nothing to rave about either.",2024-01-03 09:00:00,"the laptop is fine, nothing to complain about but nothing to rave about either.",79,14,9,Wednesday,1,0.4166666666666667,0.5,0.2394,0.198,0.0,0.802
2024-01-03 10:30:00,Smartphone X,Horrible experience with this phone. Constantly freezing and the customer service is terrible.,2024-01-03 10:30:00,horrible experience with this phone. constantly freezing and the customer service is terrible.,94,13,10,Wednesday,1,-0.6666666666666666,0.7777777777777777,-0.7906,0.0,0.444,0.556
2024-01-03 12:00:00,Wireless Headphones,These headphones are phenomenal! Best audio experience I've ever had.,2024-01-03 12:00:00,these headphones are phenomenal! best audio experience i've ever had.,69,10,12,Wednesday,1,0.8125,0.4,0.6696,0.333,0.0,0.667
2024-01-03 13:30:00,Tablet Air,The tablet works well for basic tasks. Good value for money.,2024-01-03 13:30:00,the tablet works well for basic tasks. good value for money.,60,11,13,Wednesday,1,0.35,0.36250000000000004,0.7506,0.481,0.0,0.519
2024-01-03 15:00:00,Laptop Pro,"Exceptional laptop! Fast, reliable, and the build quality is outstanding.",2024-01-03 15:00:00,"exceptional laptop! fast, reliable, and the build quality is outstanding.",73,10,15,Wednesday,1,0.5111111111111111,0.8250000000000001,0.6476,0.323,0.0,0.677
2024-01-03 16:30:00,Smartphone X,The phone is good but the software updates are annoying. Hardware is solid though.,2024-01-03 16:30:00,the phone is good but the software updates are annoying. hardware is solid though.,82,14,16,Wednesday,1,-0.03333333333333336,0.5333333333333333,-0.1779,0.209,0.193,0.598
2024-01-03 18:00:00,Wireless Headphones,Disappointed with the sound quality. Expected much better for this price range.,2024-01-03 18:00:00,disappointed with the sound quality. expected much better for this price range.,79,12,18,Wednesday,1,0.012500000000000011,0.5125,-0.0516,0.181,0.194,0.625
2024-01-03 19:30:00,Tablet Air,This tablet is amazing! Perfect size and the display is gorgeous.,2024-01-03 19:30:00,this tablet is amazing! perfect size and the display is gorgeous.,65,11,19,Wednesday,1,0.8166666666666668,0.9333333333333332,0.9151,0.596,0.0,0.404
2024-01-03 21:00:00,Laptop Pro,"The laptop is terrible. Slow, noisy, and the keyboard is uncomfortable.",2024-01-03 21:00:00,"the laptop is terrible. slow, noisy, and the keyboard is uncomfortable.",71,11,21,Wednesday,1,-0.6,0.7999999999999999,-0.7506,0.0,0.481,0.519
2024-01-04 08:15:00,Smartphone X,Incredible phone with amazing features! The camera quality is outstanding.,2024-01-04 08:15:00,incredible phone with amazing features! the camera quality is outstanding.,74,10,8,Thursday,1,0.7166666666666668,0.8916666666666666,0.8539,0.511,0.0,0.489
2024-01-04 09:45:00,Wireless Headphones,"These headphones are okay, nothing special. The battery life is decent.",2024-01-04 09:45:00,"these headphones are okay, nothing special. the battery life is decent.",71,11,9,Thursday,1,0.34126984126984133,0.5793650793650794,-0.092,0.144,0.172,0.684
2024-01-04 11:15:00,Tablet Air,The tablet is good for reading and watching videos. Satisfied with the purchase.,2024-01-04 11:15:00,the tablet is good for reading and watching videos. satisfied with the purchase.,80,13,11,Thursday,1,0.6,0.8,0.6908,0.341,0.0,0.659
2024-01-04 12:45:00,Laptop Pro,Excellent laptop! Fast performance and great for both work and gaming.,2024-01-04 12:45:00,excellent laptop! fast performance and great for both work and gaming.,70,11,12,Thursday,1,0.6666666666666666,0.7833333333333333,0.8439,0.473,0.0,0.527
2024-01-04 14:15:00,Smartphone X,The phone is fine but the battery could last longer. Camera is good though.,2024-01-04 14:15:00,the phone is fine but the battery could last longer. camera is good though.,75,14,14,Thursday,1,0.37222222222222223,0.3888888888888889,0.6428,0.304,0.0,0.696
2024-01-04 15:45:00,Wireless Headphones,Terrible headphones! They keep falling out and the sound is muffled.,2024-01-04 15:45:00,terrible headphones! they keep falling out and the sound is muffled.,68,11,15,Thursday,1,-0.3,0.7,-0.6114,0.0,0.357,0.643
2024-01-04 17:15:00,Tablet Air,Love this tablet! Perfect for drawing and taking notes.,2024-01-04 17:15:00,love this tablet! perfect for drawing and taking notes.,55,9,17,Thursday,1,0.8125,0.8,0.8478,0.539,0.0,0.461
2024-01-04 18:45:00,Laptop Pro,The laptop is decent but the screen could be brighter. Performance is good.,2024-01-04 18:45:00,the laptop is decent but the screen could be brighter. performance is good.,75,13,18,Thursday,1,0.4333333333333333,0.6333333333333333,0.8047,0.397,0.0,0.603
2024-01-04 20:15:00,Smartphone X,Amazing phone! The AI features are incredible and the battery life is excellent.,2024-01-04 20:15:00,amazing phone! the ai features are incredible and the battery life is excellent.,80,13,20,Thursday,1,0.8833333333333334,0.9333333333333332,0.8313,0.415,0.0,0.585
2024-01-04 21:45:00,Wireless Headphones,These headphones are fantastic! Great sound and very comfortable.,2024-01-04 21:45:00,these headphones are fantastic! great sound and very comfortable.,65,9,21,Thursday,1,0.555,0.7625,0.9115,0.659,0.0,0.341
2024-01-05 07:30:00,Tablet Air,The tablet is okay for basic use but not great for heavy tasks.,2024-01-05 07:30:00,the tablet is okay for basic use but not great for heavy tasks.,63,13,7,Friday,1,-0.02500000000000001,0.46875,-0.6112,0.086,0.263,0.651
2024-01-05 09:00:00,Laptop Pro,Outstanding laptop! Everything works perfectly and the design is beautiful.,2024-01-05 09:00:00,outstanding laptop! everything works perfectly and the design is beautiful.,75,10,9,Friday,1,0.8250000000000001,0.9583333333333334,0.9245,0.639,0.0,0.361
2024-01-05 10:30:00,Smartphone X,The phone is good but the price is too high for what you get.,2024-01-05 10:30:00,the phone is good but the price is too high for what you get.,61,14,10,Friday,1,0.43,0.5700000000000001,0.2382,0.13,0.0,0.87
2024-01-05 12:00:00,Wireless Headphones,Excellent headphones with great noise cancellation! Highly recommend.,2024-01-05 12:00:00,excellent headphones with great noise cancellation! highly recommend.,69,8,12,Friday,1,0.7200000000000001,0.7633333333333333,0.8976,0.685,0.0,0.315
2024-01-05 13:30:00,Tablet Air,This tablet is a disappointment. Slow and the screen quality is poor.,2024-01-05 13:30:00,this tablet is a disappointment. slow and the screen quality is poor.,69,12,13,Friday,1,-0.43333333333333335,0.4666666666666666,-0.7506,0.0,0.39,0.61
2024-01-05 15:00:00,Laptop Pro,"The laptop works well but the fan is too loud. Otherwise, it's good.",2024-01-05 15:00:00,"the laptop works well but the fan is too loud. otherwise, it's good.",68,13,15,Friday,1,0.39999999999999997,0.7000000000000001,0.81,0.455,0.0,0.545
2024-01-05 16:30:00,Smartphone X,"Perfect phone! Fast, reliable, and the camera is amazing.",2024-01-05 16:30:00,"perfect phone! fast, reliable, and the camera is amazing.",57,9,16,Friday,1,0.6,0.8333333333333334,0.8313,0.527,0.0,0.473
2024-01-05 18:00:00,Wireless Headphones,These headphones are garbage. Don't waste your money on them.,2024-01-05 18:00:00,these headphones are garbage. don't waste your money on them.,61,10,18,Friday,1,-0.2,0.0,0.3252,0.206,0.0,0.794
2024-01-05 19:30:00,Tablet Air,Great tablet for entertainment! The screen is beautiful and the speakers are good.,2024-01-05 19:30:00,great tablet for entertainment! the screen is beautiful and the speakers are good.,82,13,19,Friday,1,0.85,0.7833333333333333,0.9324,0.609,0.0,0.391
2024-01-05 21:00:00,Laptop Pro,The laptop is fine for basic tasks but struggles with heavy workloads.,2024-01-05 21:00:00,the laptop is fine for basic tasks but struggles with heavy workloads.,70,12,21,Friday,1,0.07222222222222223,0.375,-0.431,0.096,0.222,0.683
2024-01-06 08:00:00,Smartphone X,Incredible phone! The performance is outstanding and the features are amazing.,2024-01-06 08:00:00,incredible phone! the performance is outstanding and the features are amazing.,78,11,8,Saturday,1,0.7000000000000001,0.8916666666666666,0.8439,0.473,0.0,0.527
2024-01-06 09:30:00,Wireless Headphones,These headphones are okay but not worth the premium price.,2024-01-06 09:30:00,these headphones are okay but not worth the premium price.,58,10,9,Saturday,1,0.175,0.3,-0.1403,0.127,0.175,0.699
2024-01-06 11:00:00,Tablet Air,The tablet is good for kids and basic entertainment. Satisfied with the purchase.,2024-01-06 11:00:00,the tablet is good for kids and basic entertainment. satisfied with the purchase.,81,13,11,Saturday,1,0.39999999999999997,0.5750000000000001,0.8176,0.459,0.0,0.541
2024-01-06 12:30:00,Laptop Pro,"Excellent laptop! Fast, reliable, and perfect for my needs.",2024-01-06 12:30:00,"excellent laptop! fast, reliable, and perfect for my needs.",59,9,12,Saturday,1,0.7333333333333334,0.8666666666666667,0.8268,0.524,0.0,0.476
2024-01-06 14:00:00,Smartphone X,The phone is good but the software could be better. Hardware is solid.,2024-01-06 14:00:00,the phone is good but the software could be better. hardware is solid.,70,13,14,Saturday,1,0.39999999999999997,0.4000000000000001,0.7717,0.435,0.0,0.565
2024-01-06 15:30:00,Wireless Headphones,Amazing sound quality! These headphones are worth every penny.,2024-01-06 15:30:00,amazing sound quality! these headphones are worth every penny.,62,9,15,Saturday,1,0.46666666666666673,0.46666666666666673,0.7177,0.461,0.0,0.539
2024-01-06 17:00:00,Tablet Air,This tablet is terrible. Constantly crashes and the battery life is awful.,2024-01-06 17:00:00,this tablet is terrible. constantly crashes and the battery life is awful.,74,12,17,Saturday,1,-0.6666666666666666,0.7777777777777777,-0.7269,0.0,0.379,0.621
2024-01-06 18:30:00,Laptop Pro,The laptop is decent but the keyboard could be better. Performance is good.,2024-01-06 18:30:00,the laptop is decent but the keyboard could be better. performance is good.,75,13,18,Saturday,1,0.45555555555555555,0.5888888888888889,0.8271,0.412,0.0,0.588
2024-01-06 20:00:00,Smartphone X,Perfect phone! Everything works flawlessly and the design is beautiful.,2024-01-06 20:00:00,perfect phone! everything works flawlessly and the design is beautiful.,71,10,20,Saturday,1,0.9500000000000001,1.0,0.8655,0.581,0.0,0.419
2024-01-06 21:30:00,Wireless Headphones,These headphones are disappointing. Expected much better quality.,2024-01-06 21:30:00,these headphones are disappointing. expected much better quality.,65,8,21,Saturday,1,-0.06666666666666665,0.5333333333333333,-0.0772,0.24,0.264,0.496
2024-01-07 07:15:00,Tablet Air,Love this tablet! Great for productivity and the battery life is excellent.,2024-01-07 07:15:00,love this tablet! great for productivity and the battery life is excellent.,75,12,7,Sunday,1,0.8083333333333332,0.7833333333333333,0.923,0.577,0.0,0.423
2024-01-07 08:45:00,Laptop Pro,"The laptop is okay, nothing special but it gets the job done.",2024-01-07 08:45:00,"the laptop is okay, nothing special but it gets the job done.",61,12,8,Sunday,1,0.4285714285714286,0.5357142857142857,-0.0462,0.111,0.125,0.765
2024-01-07 10:15:00,Smartphone X,Horrible phone! Constantly freezing and the customer service is terrible.,2024-01-07 10:15:00,horrible phone! constantly freezing and the customer service is terrible.,73,10,10,Sunday,1,-0.6666666666666666,0.7777777777777777,-0.807,0.0,0.542,0.458
2024-01-07 11:45:00,Wireless Headphones,These headphones are phenomenal! Best audio experience ever.,2024-01-07 11:45:00,these headphones are phenomenal! best audio experience ever.,60,8,11,Sunday,1,0.8125,0.4,0.6696,0.391,0.0,0.609
2024-01-07 13:15:00,Tablet Air,The tablet is good for basic tasks. Good value for the price.,2024-01-07 13:15:00,the tablet is good for basic tasks. good value for the price.,61,12,13,Sunday,1,0.4666666666666666,0.4416666666666667,0.802,0.477,0.0,0.523
2024-01-07 14:45:00,Laptop Pro,"Exceptional laptop! Fast, reliable, and the build quality is outstanding.",2024-01-07 14:45:00,"exceptional laptop! fast, reliable, and the build quality is outstanding.",73,10,14,Sunday,1,0.5111111111111111,0.8250000000000001,0.6476,0.323,0.0,0.677
2024-01-07 16:15:00,Smartphone X,The phone is good but the updates are annoying. Hardware is solid though.,2024-01-07 16:15:00,the phone is good but the updates are annoying. hardware is solid though.,73,13,16,Sunday,1,-0.03333333333333336,0.5333333333333333,-0.1779,0.221,0.204,0.575
2024-01-07 17:45:00,Wireless Headphones,Disappointed with the sound quality. Not worth the money.,2024-01-07 17:45:00,disappointed with the sound quality. not worth the money.,57,9,17,Sunday,1,-0.16666666666666666,0.4166666666666667,-0.5812,0.0,0.405,0.595
2024-01-07 19:15:00,Tablet Air,This tablet is amazing! Perfect size and the display is gorgeous.,2024-01-07 19:15:00,this tablet is amazing! perfect size and the display is gorgeous.,65,11,19,Sunday,1,0.8166666666666668,0.9333333333333332,0.9151,0.596,0.0,0.404
2024-01-07 20:45:00,Laptop Pro,"The laptop is terrible. Slow, noisy, and uncomfortable to use.",2024-01-07 20:45:00,"the laptop is terrible. slow, noisy, and uncomfortable to use.",62,10,20,Sunday,1,-0.6,0.7999999999999999,-0.7506,0.0,0.514,0.486
2024-01-08 08:30:00,Smartphone X,Incredible phone with amazing features! The camera quality is outstanding.,2024-01-08 08:30:00,incredible phone with amazing features! the camera quality is outstanding.,74,10,8,Monday,1,0.7166666666666668,0.8916666666666666,0.8539,0.511,0.0,0.489
2024-01-08 10:00:00,Wireless Headphones,"These headphones are okay, nothing special. Battery life is decent.",2024-01-08 10:00:00,"these headphones are okay, nothing special. battery life is decent.",67,10,10,Monday,1,0.34126984126984133,0.5793650793650794,-0.092,0.156,0.186,0.658
2024-01-08 11:30:00,Tablet Air,The tablet is good for reading and watching videos. Satisfied with the purchase.,2024-01-08 11:30:00,the tablet is good for reading and watching videos. satisfied with the purchase.,80,13,11,Monday,1,0.6,0.8,0.6908,0.341,0.0,0.659
2024-01-08 13:00:00,Laptop Pro,Excellent laptop! Fast performance and great for both work and gaming.,2024-01-08 13:00:00,excellent laptop! fast performance and great for both work and gaming.,70,11,13,Monday,1,0.6666666666666666,0.7833333333333333,0.8439,0.473,0.0,0.527
2024-01-08 14:30:00,Smartphone X,The phone is fine but the battery could last longer. Camera is good though.,2024-01-08 14:30:00,the phone is fine but the battery could last longer. camera is good though.,75,14,14,Monday,1,0.37222222222222223,0.3888888888888889,0.6428,0.304,0.0,0.696
2024-01-08 16:00:00,Wireless Headphones,Terrible headphones! They keep falling out and the sound is muffled.,2024-01-08 16:00:00,terrible headphones! they keep falling out and the sound is muffled.,68,11,16,Monday,1,-0.3,0.7,-0.6114,0.0,0.357,0.643
2024-01-08 17:30:00,Tablet Air,Love this tablet! Perfect for drawing and taking notes.,2024-01-08 17:30:00,love this tablet! perfect for drawing and taking notes.,55,9,17,Monday,1,0.8125,0.8,0.8478,0.539,0.0,0.461
2024-01-08 19:00:00,Laptop Pro,The laptop is decent but the screen could be brighter. Performance is good.,2024-01-08 19:00:00,the laptop is decent but the screen could be brighter. performance is good.,75,13,19,Monday,1,0.4333333333333333,0.6333333333333333,0.8047,0.397,0.0,0.603
2024-01-08 20:30:00,Smartphone X,Amazing phone! The AI features are incredible and the battery life is excellent.,2024-01-08 20:30:00,amazing phone! the ai features are incredible and the battery life is excellent.,80,13,20,Monday,1,0.8833333333333334,0.9333333333333332,0.8313,0.415,0.0,0.585
2024-01-08 22:00:00,Wireless Headphones,These headphones are fantastic! Great sound and very comfortable. ,2024-01-08 22:00:00,these headphones are fantastic! great sound and very comfortable.,65,9,22,Monday,1,0.555,0.7625,0.9115,0.659,0.0,0.341
